labels	MCF7	MOLT-4	RPMI-8226	SR	K-562	NCI-ADR-RES	MDA-MB-231	HS_578T	MDA-MB-435	MDA-N	BT-549	SF-268	SF-539	SNB-75	U251	COLO_205	HCC-2998	HCT-116	KM12	SW-620	786-O	ACHN	CAKI-1	RXF_393	SN12C	TK-10	UO-31	A549_ATCC	EKVX	HOP-62	HOP-92	NCI-H226	NCI-H23	NCI-H322M	NCI-H460	IGROV1	OVCAR-3	OVCAR-4	OVCAR-8	SK-OV-3	PC-3	DU-145	MALME-3M	M_14	SK-MEL-2	SK-MEL-28	SK-MEL-5	UACC-62	NCI-H522	OVCAR-5	HL-60	HCT-15	T47D	SNB-19	LOX_IMVI	A498	CCRF-CEM	HT29	SF-295	UACC-257
AANAT	0.485060	0.408950	0.228450	-0.140600	-0.077280	0.089200	-0.101350	0.421390	0.291720	-0.120730	-0.249450	-0.269520	-0.129390	-0.202990	0.032080	0.094990	0.034190	-0.157040	0.163160	0.005290	-0.060940	-0.251770	0.059850	0.052730	-0.116090	0.094260	0.034650	0.284810	0.044430	-0.322230	0.295240	-0.072470	-0.169690	-0.069340	0.120040	0.247700	0.000000	0.111010	-0.120610	0.138930	-0.131570	-0.152400	-0.033690	-0.212270	0.185190	-0.150360	0.097980	-0.125070	0.002470	-0.018800	0.360900	-0.027080	-0.075140	-0.164430	0.234600	0.017990	0.224070	-0.122800	0.271620	-0.202530
AARS	0.695180	0.011360	0.282660	-0.089610	0.814600	0.220930	-0.128190	0.730400	-0.785070	-0.909350	0.107200	-0.358530	0.119320	0.263260	0.155840	0.091870	-0.052160	0.367100	0.507560	1.191390	0.277760	0.957420	0.835660	-0.253410	1.090480	0.620320	0.244070	0.577560	-0.219810	0.526090	-0.369540	-0.088510	0.132040	0.564490	-0.149720	-0.049500	-1.331290	0.092530	0.275270	-0.074940	0.361350	0.666020	-0.321990	-0.892970	0.000000	-0.409240	-0.322250	0.332860	-0.303410	-0.267920	-0.090410	-0.336800	0.451100	-0.079250	-0.192130	-0.100320	-0.277220	-0.311390	-0.205880	-0.209290
AARSD1	-0.585930	1.018600	0.894950	-0.181050	0.414560	0.249940	-0.213630	-0.723750	-0.811420	-0.578490	-0.597820	0.109910	-0.636210	-0.736230	0.000000	0.012920	0.253340	0.581920	-0.741270	0.197910	0.098700	0.194300	-0.210350	-0.621500	-0.062980	0.074740	-0.005790	0.405020	0.372330	1.222100	-0.079010	-0.203770	0.304390	0.263280	-0.154090	0.351020	-0.166340	-0.977610	0.401040	0.219010	-0.382200	0.374570	-0.446880	-0.294530	-0.146350	-0.111600	-0.374310	0.207120	0.481530	0.621220	0.662350	0.229030	0.367230	-0.306730	0.338290	-0.101570	0.489190	-0.058030	0.221520	-0.187640
AASDHPPT	-1.265850	-0.080460	0.683925	0.422045	0.954685	0.198315	0.624905	0.246810	0.475540	0.320085	-0.444670	0.281675	-0.903160	-0.346950	0.007815	-0.191750	0.238285	0.075560	-1.067390	0.266835	-0.295435	-0.530930	-0.888705	-0.679720	-0.058280	-2.126420	0.608920	-0.509010	0.501410	-0.034280	-1.213030	0.130755	0.538240	0.672430	-0.093355	0.543040	-0.757475	-0.346145	0.363330	-0.504740	-0.803895	-0.296800	-0.428900	0.045190	-0.719555	-0.118545	-0.229780	0.342375	0.677000	0.144485	0.009815	0.155590	0.358740	-0.237905	0.836555	-1.098080	0.014395	0.099945	-0.265535	-0.001060
AASS	-0.142955	0.471015	-0.233205	0.344825	-0.362720	0.206005	0.757360	0.216340	0.341810	0.331200	-0.207920	1.448370	-0.080920	0.195775	0.129520	-0.346700	-0.078920	-0.033710	-0.094115	-0.240255	-0.074920	0.240560	-0.106860	-0.267260	0.320085	0.132325	0.146360	-0.114540	-0.102275	0.585460	-0.074130	0.006435	0.002030	-0.367265	0.035295	-0.190300	-0.311820	-0.393755	0.019140	-0.235630	-0.152750	-0.176460	0.178460	0.419770	0.511470	0.234140	0.130420	0.416670	-0.178255	-0.082105	-0.221175	0.233720	-0.118450	0.274250	0.067645	-0.121135	0.164770	-0.361050	0.205160	0.277975
AATF	-0.364490	0.136860	-0.010030	0.296790	0.497400	-0.151650	0.437520	-0.441040	-0.353700	0.070790	-0.214450	0.136980	-0.679680	-0.492530	-0.105660	0.413910	-0.069130	0.312560	-0.241820	-0.022780	0.431380	0.300490	0.198790	-0.668870	-0.562620	0.470150	-0.467910	0.444710	-0.175670	1.028880	0.000000	0.251020	-0.250570	0.051560	-0.030930	0.112160	-0.256080	-0.190460	-0.223420	0.373150	-0.232510	0.235110	-0.185180	-0.123910	0.113210	0.197560	-0.215620	0.526780	0.282300	0.705610	0.047910	-0.089330	-0.380360	-0.100550	0.735800	0.032590	-0.205740	0.345540	0.519270	0.141920
AATK	0.436830	-0.069590	-0.318240	-0.156940	0.021680	0.123760	-0.054070	0.008420	-0.094750	-0.344780	-0.011020	-0.486720	0.018740	0.496820	-0.186170	-0.097390	0.549990	0.420940	0.200720	0.358620	-0.278820	-0.060600	0.056920	-0.200110	0.035530	0.411340	0.000000	0.061840	0.286740	-0.230730	-0.333900	-0.087890	-0.021960	-0.140290	0.120790	0.222180	0.005150	-0.044110	-0.162110	0.023360	0.278800	-0.151380	0.554210	-0.134880	0.285980	-0.040950	0.366650	0.019660	0.372860	-0.065200	0.086200	0.066370	0.185920	-0.100600	-0.067830	-0.034110	-0.232940	0.236510	-0.350880	0.256430
ABAT	1.339630	0.525070	0.048800	0.172540	-0.213510	0.121640	-0.080550	-0.133780	-0.002480	0.000000	-0.065300	-0.100160	-0.092880	-0.222450	-0.153780	0.088270	0.101590	0.188120	0.010240	-0.110660	0.000000	-0.130300	0.058130	-0.111510	0.435030	-0.002890	0.166770	-0.033310	-0.085720	-0.092950	0.063970	1.067100	0.167680	0.949520	-0.106340	0.489050	-0.036100	0.165050	0.120200	0.025290	-0.034780	-0.048290	0.000000	-0.049190	0.270800	0.324030	-0.134020	0.054190	-0.040480	-0.137440	0.091730	0.048520	3.320550	0.057650	-0.186580	0.037610	0.538240	-0.090910	-0.151710	-0.079800
ABCA1	-0.964330	1.058030	-0.503440	1.566290	-1.054460	-0.239460	0.653930	0.038200	0.750500	0.903790	-0.652570	-0.682100	-0.295330	1.488750	0.074390	-0.314850	-0.874490	-0.632970	-0.541620	-0.666590	2.409400	0.844270	1.141150	2.162730	-0.450650	1.408520	1.637770	-0.295050	0.449210	-0.099300	1.647910	1.072190	0.302390	0.000000	-0.407740	-0.653400	0.020660	-0.314590	0.116320	0.289450	-0.360360	-0.026930	0.129020	-0.113090	-0.537030	-0.900760	1.381360	-0.814340	0.268000	0.000000	0.171760	-0.965980	-0.827980	0.956150	1.298050	2.127000	-0.756710	0.096100	1.049570	-0.869700
ABCA12	1.960170	0.008630	-0.116990	-0.129190	0.091120	-0.008040	-0.065210	-0.077710	0.004930	-0.125220	0.116840	-0.024080	-0.037360	-0.057920	-0.308740	1.063280	0.000000	-0.070510	0.127540	0.007970	0.189830	0.027040	0.276070	0.641430	-0.048060	0.043470	0.181100	0.078410	-0.016760	-0.039070	0.300210	-0.074450	-0.186450	0.017630	-0.033590	0.025190	-0.001600	0.049300	0.135100	0.148780	-0.041010	0.021870	-0.022210	-0.073670	-0.037490	0.004860	0.041900	-0.029940	0.051900	-0.048180	0.009250	0.007050	0.994270	-0.018060	-0.061300	0.478790	0.060950	-0.123750	-0.016780	-0.015530
ABCA2	0.846750	-0.313640	0.003080	0.363590	-0.126480	0.264900	0.103590	0.229930	0.144620	0.129070	-0.056710	-0.232330	-0.292440	0.347590	-0.340470	-0.015600	0.239260	0.277530	0.241600	-0.172370	0.129140	0.096300	-0.051070	-0.242540	-0.042060	0.135020	-0.005840	0.122680	-0.079330	-0.330210	-0.053650	-0.328290	-0.162190	-0.276090	-0.075370	0.265500	-0.034860	0.071480	-0.248500	0.201000	0.240670	0.282670	0.013760	0.047180	-0.226810	-0.163020	-0.091780	-0.171420	-0.087270	0.229870	0.311030	0.228560	1.005250	0.000000	-0.156180	0.008980	-0.103060	0.335700	-0.143250	0.042740
ABCA3	1.636870	-0.333090	-0.342170	1.394510	1.032820	1.241350	-0.403200	-0.726740	-0.322750	-0.585410	0.795120	0.361050	-0.516960	-0.349710	-0.537070	-0.358690	-0.045140	-0.121560	1.311670	-0.210640	0.000000	1.232510	0.235590	0.634380	-0.240520	0.709300	0.810000	0.608200	0.774160	-0.588040	-0.364510	0.049690	0.934330	-0.210290	0.229580	0.548880	-0.267690	0.132070	0.547140	0.626040	0.801340	0.569290	-0.226820	-0.054090	-0.016640	-0.586470	-0.043140	0.023550	1.423790	1.034160	-0.077730	0.701770	1.222170	0.252650	-0.206490	0.839150	-0.375630	-0.188630	-0.443450	-0.191070
ABCA4	-0.520040	0.183470	0.070940	-0.021280	-0.051510	0.347530	0.035970	0.202650	0.142320	-0.100290	0.009010	-0.083620	-0.150090	-0.339840	-0.120160	-0.000970	0.147900	-0.020080	0.241870	-0.049530	-0.161450	-0.036300	-0.101230	0.071610	0.057730	0.015480	0.214080	0.246470	-0.015670	-0.529880	0.325190	0.051290	-0.308450	-0.010030	1.288850	0.233890	0.302320	0.492560	0.096860	0.446140	-0.069990	0.249930	-0.197480	0.094930	-0.060130	-0.300640	-0.227320	0.000000	-0.008100	0.077970	0.042440	0.135830	-0.003600	-0.144320	0.077010	0.062070	-0.075780	-0.124270	0.032630	-0.166220
ABCA5	0.118860	0.192500	-0.064840	-0.314010	-0.515620	0.196100	0.223870	0.187420	-0.072060	0.204500	0.270550	0.986000	0.178070	-0.129780	0.168980	0.033730	-0.069560	0.107330	-0.234420	0.278000	-0.261700	-0.289680	-0.204170	-0.096060	-0.159280	-0.074940	-0.001830	0.166450	-0.064520	0.483550	-0.138420	0.424910	0.310270	-0.016000	0.132130	0.019020	-0.046080	-0.147020	0.382480	-0.058400	-0.090430	-0.114080	0.261820	2.265550	-0.072310	1.291530	1.251160	0.205200	-0.190850	-0.030500	-0.029450	-0.084780	1.090850	0.071390	-0.221930	0.000000	0.046450	-0.157640	0.058350	0.859500
ABCA6	0.223770	-0.005330	0.000000	-0.049320	0.042220	0.114600	-0.029340	0.055850	-0.003110	-0.101540	0.221690	0.015840	-0.009680	-0.110430	-0.243340	0.063260	-0.053200	0.111540	0.048430	-0.049420	-0.052260	-0.085900	0.116780	-0.103280	0.037870	0.062010	0.155310	-0.001260	0.041160	0.012770	0.095970	-0.008320	0.047760	-0.205730	-0.046220	0.012240	-0.097780	0.003280	-0.080450	0.361360	0.195850	-0.062550	-0.098870	0.411370	0.094860	-0.115740	-0.079240	0.169180	0.008040	0.116730	0.023160	0.016770	-0.000310	-0.129080	0.012580	-0.006690	-0.022340	-0.137310	0.077170	-0.157910
ABCA7	0.553060	0.047110	0.411280	-0.128220	0.470900	-0.099020	-0.459910	-0.602680	-0.181930	-0.181350	-0.282730	-0.354080	-0.461430	-0.210140	-0.229090	-0.119500	0.436410	0.812690	-0.136330	0.008930	-0.594410	0.000000	-0.030150	-0.390010	0.005700	-0.102330	-0.069870	0.063220	0.282160	-0.779640	0.001250	0.027850	0.195760	0.170550	0.186310	1.566700	-0.181140	0.188030	0.316390	0.213610	-0.005150	0.058300	-0.096820	-0.061760	-0.346150	-0.317900	-0.114480	-0.209740	0.033770	0.480100	0.082800	0.581420	0.548280	0.021490	-0.016740	0.229950	0.153150	0.479970	-0.098780	0.015320
ABCA8	-0.064330	-0.049290	0.013500	-0.038890	0.382090	0.070530	-0.062750	-0.053850	0.149650	-0.146890	0.100170	0.103840	0.054550	-0.093640	-0.077690	0.181770	-0.047870	-0.014130	0.011580	0.059680	0.196960	0.162830	0.002070	0.034570	0.184450	0.350770	0.087850	0.211580	0.116180	-0.094580	-0.033760	-0.007020	-0.037410	-0.022640	1.481130	0.010580	0.002390	-0.020470	0.008660	-0.042610	0.292820	0.000000	0.009660	-0.068360	0.098750	-0.104050	1.397200	0.295880	-0.026800	-0.092880	-0.029760	-0.033820	0.015180	-0.020690	0.100780	-0.018990	-0.056340	-0.073260	-0.090350	-0.013890
ABCB1	0.076240	-0.216375	-0.051085	-0.228695	0.631200	6.243100	-0.176790	-0.103485	-0.084540	-0.170550	-0.045505	-0.126305	-0.150870	-0.238120	0.113015	-0.031035	0.134900	0.049825	0.028620	0.147750	0.374185	0.489130	2.924810	0.067645	0.124270	0.372135	2.672440	-0.003515	1.407290	0.376640	0.029515	-0.206030	0.090520	-0.261205	0.024820	0.106990	-0.043340	0.004625	0.100145	-0.088665	0.117585	-0.125875	-0.074660	0.736945	1.076960	-0.154550	0.475855	-0.000365	-0.015085	-0.145585	0.206145	4.439750	-0.188390	-0.113890	-0.015030	1.536300	-0.056300	-0.038140	0.792045	-0.193730
ABCB11	0.318060	0.059465	0.177595	-0.126010	0.007920	0.095045	-0.169095	-0.225980	-0.003390	-0.111355	0.063610	-0.154100	-0.164570	-0.073815	-0.215665	-0.031080	-0.040640	0.057295	0.000000	0.016000	0.051830	0.033430	0.194085	-0.076270	0.074490	0.009655	0.050585	0.069780	0.098550	-0.232715	0.113485	-0.032580	-0.086905	-0.068645	-0.019320	0.176275	0.040195	0.061270	-0.062130	0.137095	0.288850	0.018485	-0.210110	0.066915	0.188235	-0.141175	-0.001310	0.012780	0.043980	0.075635	0.192380	0.012845	-0.001445	-0.048275	-0.011905	0.101145	-0.002190	-0.057570	-0.003670	-0.091935
